27 tables
34.88MB/10GB
Schema	Name	Type	Owner	Size	Description
public	categories	table	neondb_owner	48 kB	
public	corrective_actions	table	neondb_owner	16 kB	
public	corrective_actions_id_seq	sequence	neondb_owner	8192 bytes	
public	customer_products	table	neondb_owner	2120 kB	
public	customer_products_id_seq	sequence	neondb_owner	8192 bytes	
public	customers	table	neondb_owner	496 kB	
public	final_products	table	neondb_owner	32 kB	
public	final_products_id_seq	sequence	neondb_owner	8192 bytes	
public	items	table	neondb_owner	32 kB	
public	job_orders	table	neondb_owner	48 kB	
public	job_orders_id_seq	sequence	neondb_owner	8192 bytes	
public	machines	table	neondb_owner	32 kB	
public	master_batches	table	neondb_owner	32 kB	
public	material_input_items	table	neondb_owner	24 kB	
public	material_input_items_id_seq	sequence	neondb_owner	8192 bytes	
public	material_inputs	table	neondb_owner	32 kB	
public	material_inputs_id_seq	sequence	neondb_owner	8192 bytes	
public	mix_items	table	neondb_owner	40 kB	
public	mix_items_id_seq	sequence	neondb_owner	8192 bytes	
public	mix_machines	table	neondb_owner	24 kB	
public	mix_machines_id_seq	sequence	neondb_owner	8192 bytes	
public	mix_materials	table	neondb_owner	32 kB	
public	mix_materials_id_seq	sequence	neondb_owner	8192 bytes	
public	orders	table	neondb_owner	32 kB	
public	orders_id_seq	sequence	neondb_owner	8192 bytes	
public	permissions	table	neondb_owner	48 kB	
public	permissions_id_seq	sequence	neondb_owner	8192 bytes	
public	plate_calculations	table	neondb_owner	16 kB	
public	plate_calculations_id_seq	sequence	neondb_owner	8192 bytes	
public	plate_pricing_parameters	table	neondb_owner	32 kB	
public	plate_pricing_parameters_id_seq	sequence	neondb_owner	8192 bytes	
public	quality_check_types	table	neondb_owner	32 kB	
public	quality_checks	table	neondb_owner	32 kB	
public	quality_checks_id_seq	sequence	neondb_owner	8192 bytes	
public	raw_materials	table	neondb_owner	32 kB	
public	raw_materials_id_seq	sequence	neondb_owner	8192 bytes	
public	rolls	table	neondb_owner	48 kB	
public	sections	table	neondb_owner	32 kB	
public	session	table	neondb_owner	80 kB	
public	sessions	table	neondb_owner	312 kB	
public	sms_messages	table	neondb_owner	32 kB	
public	sms_messages_id_seq	sequence	neondb_owner	8192 bytes	
public	users	table	neondb_owner	48 kB	
